ID	Group	Width	Height	Depth
ID001	B	6.518109	41.16221	4.637743
ID002	B	6.505138	44.10542	4.822542
ID003	A	11.428349	45.03662	5.149416
ID004	A	13.714852	58.60545	5.834809
ID005	B	8.802453	47.40527	4.546300
ID006	B	10.038084	58.58873	5.981818
ID007	A	8.740394	41.53119	4.626600
ID008	B	10.711771	64.49154	3.602257
ID009	B	8.114288	48.88278	5.663000
ID010	B	11.424861	67.37025	3.842383
ID011	A	8.773264	57.39290	4.712295
ID012	B	13.139109	45.80343	5.491650
ID013	A	13.569343	43.74955	5.472871
ID014	A	12.041219	46.12987	3.400381
ID015	B	11.060125	60.21749	6.378590
ID016	A	11.699932	41.12555	5.788933
ID017	B	8.224749	52.73431	7.666512
ID018	A	8.146847	49.73451	5.162259
ID019	A	9.547799	51.50961	6.522840
ID020	B	9.908631	52.27669	4.018421
ID021	B	8.959396	48.43638	4.499161
ID022	B	10.203804	49.93358	5.100698
ID023	B	8.112941	70.63192	4.510442
ID024	B	4.548903	68.14125	4.891887
ID025	A	9.160276	49.39635	5.346677
ID026	B	11.634772	48.62511	6.971361
ID027	B	9.333435	47.97902	5.652330
ID028	A	12.180477	57.94727	3.568409
ID029	B	8.220510	57.96283	4.852220
ID030	B	12.806781	38.44108	4.066654
ID031	B	9.123672	48.99903	4.675876
ID032	A	9.364458	53.75771	5.915314
ID033	A	8.563057	51.58819	4.832485
ID034	A	10.095910	38.38164	4.817764
ID035	B	9.378402	50.61444	6.326077
ID036	A	7.795322	46.05024	4.786972
ID037	A	12.595936	49.88173	4.784971
ID038	B	13.720380	33.15160	4.188955
ID039	B	11.273416	55.23366	5.287310
ID040	B	11.672093	60.18829	3.869926
ID041	B	8.988585	52.13329	5.346735
ID042	B	9.543722	53.95348	4.270476
ID043	A	9.216788	58.41965	3.997408
ID044	B	10.370555	51.31779	6.514215
ID045	B	8.025021	48.36564	3.076316
ID046	A	8.292223	59.67912	6.188965
ID047	B	11.234427	51.17334	6.844302
ID048	B	11.441894	52.09408	4.633126
ID049	B	7.400589	64.14677	4.107253
ID050	A	13.274507	60.22454	6.125580
ID051	A	12.694610	40.33144	4.797975
ID052	B	7.736454	65.21264	4.153176
ID053	B	11.600915	69.66276	6.023286
ID054	A	10.604760	49.44704	5.695556
ID055	A	7.159476	54.61834	4.683220
ID056	B	13.091133	50.46308	7.144065
ID057	B	5.957377	52.93663	2.748434
ID058	B	8.137789	62.70087	3.661515
ID059	A	11.864533	46.77056	5.983798
ID060	A	10.030732	62.07208	6.310503
ID061	A	12.278680	57.67181	4.949232
ID062	A	11.839379	56.31205	5.079724
ID063	A	9.548844	56.80899	6.823920
ID064	B	12.876866	35.90686	4.804050
ID065	B	12.319354	45.99789	3.258470
ID066	B	10.586353	42.11086	5.124338
ID067	A	10.804655	54.76081	3.528329
ID068	B	7.398843	59.22247	5.558944
ID069	B	12.336744	52.01976	4.006954
ID070	A	7.755350	57.63707	5.008479
ID071	B	8.202646	44.28160	5.370415
ID072	B	10.696069	42.25050	2.968014
ID073	A	9.976869	50.36301	4.959895
ID074	A	7.238725	52.70583	4.731405
ID075	A	10.157997	66.00341	4.873807
ID076	A	7.356203	63.48717	5.929008
ID077	A	9.906317	49.09918	5.554349
ID078	A	7.640372	51.95424	5.564432
ID079	A	7.798790	43.62831	5.022160
ID080	A	10.083166	43.36103	4.971567
ID081	A	9.442612	73.50258	4.058767
ID082	B	13.209905	51.95077	4.539505
ID083	B	10.336547	52.46138	5.255481
ID084	A	11.288325	42.13605	5.520805
ID085	B	9.694727	52.28387	4.270383
ID086	A	8.543423	55.36303	5.706620
ID087	B	9.671240	46.14898	5.002664
ID088	A	9.677079	61.40471	6.861408
ID089	B	12.686821	61.92502	4.190108
ID090	A	6.918727	45.23068	3.586502
ID091	B	10.817183	54.08547	4.845472
ID092	B	10.448087	48.87527	5.780733
ID093	A	7.370096	50.43286	4.945715
ID094	B	14.397848	53.56178	5.354901
ID095	A	8.000438	57.25469	4.681474
ID096	B	10.286788	50.81207	4.782186
ID097	A	9.500475	56.71276	3.952302
ID098	A	12.951660	50.91062	6.845270
ID099	A	10.074976	51.95781	4.571541
ID100	A	11.322658	66.01904	6.724577
