gene_id	gene_name	tissue	median_expression	tissue_type	gene_chr	gene_annotation	gene_start	gene_end	gene_strand	gene_type	gene_status
ENSG00000237683.5	AL627309.1	Liver	4.702	Liver	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Muscle	0.75935	Muscle	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Testis	52.67	Testis	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Lymphocytes	3.038	Blood	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Brain	3.3335	Brain	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Stomach	6.5975	Stomach	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Adipose	5.9925	Adipose.Tissue	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000237683.5	AL627309.1	Lung	34.69	Lung	1	ENSEMBL	134901	139379	-	protein_coding	KNOWN
ENSG00000256186.1	AL732372.1	Liver	0	Liver	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Adipose	0	Adipose.Tissue	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Stomach	0	Stomach	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Lymphocytes	0	Blood	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Muscle	0	Muscle	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Testis	0	Testis	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Brain	0	Brain	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000256186.1	AL732372.1	Lung	0	Lung	1	ENSEMBL	450820	450886	-	pseudogene	NOVEL
ENSG00000230092.3	RP11-206L10.8	Adipose	1.3135	Adipose.Tissue	1	HAVANA	736259	745488	-	pseudogene	KNOWN
